个,ja,jax,ʈʂʰə̀
我,doc,dojk
我们,ko,kox
你,jed,jed
他,gi,vyix
他们,bans,banh
着,gugas,vuah
呗,pyg,pid
罢（推测）,gunbas,muah
了（完成）,gogas,vah
嘛（判断、命令）,gonbal,mad
不,dyn,dix
覅,cyl,cid
何,gunbal,muad
一,sajut,sjut
二,pugo,qguox
圪（名词化）,kal,kad
语,kes,keh
文,tal,tad
沉比,gynpi,mbi
中华,dang,daw
吃,kabak,qbak
吃没吃,kabak subak,qbak sbak
墙,sindos,snyoh
瓶,qonbynd,qmin
香,conqal,qwad
岛（孤立土）,synsid,nsyid
花,penc,pewx,péŋ
时,tanb,tam,tâm
严,langib,wyiu,ɲø̌
冬季,tanb langib,tam wyiu
样,benkul,wgud,ŋgǎw
散,gynki,wgyix
命,padang,qdaw
数数,bendic,nyiwx
被用,lilun,vlyux
手指,puten,qtuex
行,katin,qtyix
回,sunku,wkux
也,ka,ka
眼,quntan,qnduax
泪,benkic,wgyik
脸,lanpa,mbax
脸,gidung,vdyuw
笑,gagas,vgah
过去,tanb sunku,tam wkux
来,tynce,qnjex
将来,tanb tynce,tam qnjex
撕,sandip,snyip
开,bopen,vpex
光,kintand,qndyan
日,calik,qlyik
日,lunjib,vnyuiu
暗,suntand,ntuan
月,basenj,vzeyw
月,tansunt,qnzunx
缠,qigop,qgyop
背向,saso,sox
人,lido,vdyox
糊,be,bex
湿,qusunt,qsunx
美,singil,swyid
最,tet,tet
过度,beco,vcox
气,big,byid
镜,sukys,skuih
夏,sudang,sduaw
路,litin,vtyix
旅,jinlub,nyud
总,putaj,qtuai
活,cidang,qdyaw
里边,luj,lui
风,kogas,qgah
枯,dynsunt,nyunx
木,dukeb,vkueu
徘徊,sunku sunku,wkux wkux
找,bygang,vgaw
处,kili,qlyix
温,tikus,qkyuh
哭,cikic,qkyik
心,kojit,qjyit
陷,gudung,vduuw
爱,kinsas,qnzah
真,syncunk,nzuwx
适,gosy,vzix
前,cedind,qdyin
决定,kacul,qcud
悲,dansynb,nzim
被,likyt,vkyit
看,jukyt,vkuut
跟,sug,sud
系,cul,cud
约定,sujynt,syuunx
仍,kandy,qnix
水,bulenp,vluemx
藏,dynkyt,wgit
假,kandol,qnod
乐,sibaj,sbyai
康,bukanp,vkuamx
远,ponsun,qnzux
再见,ponsun cyl,qnzux cid
思,lekanb,vkam
想,bot,bot
楼,tankaj,qwgai
高,kulob,qluou
触,tynp,timx
天空,sas,sah
天空,katus,qtuh
口,gol,god
书,syng,siw
故事,gol syng,god ziw
名,lisos,vzyoh
身,dental,ndad
章,kungand,qwuan
脚,qang,qaw
最终,qang tet,qaw tet
所以,ju,jux
全,jut,jut
出,lindund,nyun
冻,ganlons,noh
鲜艳,sinbal,smyad
发,dund,dun
认,kagang,qgaw
有,sunp,sumx
输,pindo,qnyox
其他,kinbans,qmyah
不知,sukyt,skuut
傲,bisel,vzyed
胸,qob,qou
外,sib,syiu
日（天）,lilik,vlyik
云,ganpang,mbaw
使飘浮,jolu,vlu
幼稚,sunji,snyui
仔,ligo,vgyo
热情,sob,sou
伟,danci,nji
皇帝,syndonb,snom
